Hotel Name,Price
"Radisson Blu Aleksanteri Hotel, Helsinki",271 €
"Radisson Blu Plaza Hotel, Helsinki",342 €
Radisson Blu Royal Hotel Helsinki,263 €
Rivoli Jardin Hotel,252 €
Omena Hotel Helsinki Lonnrotinkatu,128 €
"Radisson Blu Seaside Hotel, Helsinki",246 €
"Radisson Blu Plaza Hotel, Helsinki",342 €
Clarion Hotel Helsinki,257 €
Marski by Scandic,265 €
Omena Hotel Yrjonkatu,148 €
Hellsten Helsinki Parliament,171 €
Kotimaailma Helsinki Bulevardi 12,217 €
Scandic Kaisaniemi,198 €
Hellsten Helsinki Senate,147 €
Kotimaailma Helsinki Punavuorenkatu 23,159 €
Kotimaailma Helsinki LäntinenBrahenkatu6,161 €
Apartment Hotel Aallonkoti,304 €
Finlandia Park Hotel Helsinki,176 €
Holiday Inn Helsinki - Vantaa Airport,205 €
Hilton Helsinki Strand,309 €
Hotel Helka,206 €
Lapland Hotels Bulevardi,331 €
Hilton Helsinki Airport,320 €
Hotel Arthur,187 €
WeHost Malagankatu 2,135 €
Hotel Finn,158 €
Hotel Indigo Helsinki - Boulevard,226 €
Original Sokos Hotel Vaakuna Helsinki,351 €
Hilton Helsinki Kalastajatorppa,234 €
Holiday Inn Helsinki West- Ruoholahti,173 €
Holiday Inn Helsinki City Centre,247 €
GLO Hotel Art,223 €
Töölö Towers,206 €
Forenom Aparthotel Helsinki Kamppi,156 €
Original Sokos Hotel Helsinki,304 €
2ndhomes Malminkatu,215 €
Hotel Fabian,258 €
Hilton Helsinki Kalastajatorppa,234 €
Hilton Helsinki Strand,309 €
Hotel Lilla Roberts,322 €
Klaus K Hotel,300 €
Hotel F6,347 €
Hotel Anna,216 €
Hotel Haaga Central Park,235 €
Scandic Simonkenttä,330 €
Original Sokos Hotel Presidentti,336 €
Holiday Inn Helsinki - Expo,207 €
Scandic Park Helsinki,264 €
"Hotel Katajanokka, Helsinki, A Tribute Portfolio Hotel",306 €
